id,category,subcategory,question,answer,keywords,audience,source_url,as_of
ASP-034,Eligibility,Home schooling,Are home-schooled children eligible for ASPIRE?,Yes. Children who are registered with the Ministry of Education as home schooled are eligible for the programme.,home school|homeschool|eligible|ministry of education,parent,https://aspire.gov.kn/,2026-07-30
ASP-035,Eligibility,Proof of citizenship,What proof of citizenship do I need to provide?,"Applicants must supply one of the following: a Saint Kitts and Nevis birth certificate, or a citizenship by descent certificate.",proof|birth certificate|citizenship certificate|documents,parent,https://aspire.gov.kn/,2026-07-30
ASP-036,Eligibility,Birth certificate,Can I use a birth certificate to prove eligibility?,Yes. A Saint Kitts and Nevis birth certificate is accepted as evidence of citizenship for eligible children born in the Federation.,birth certificate|document|evidence|proof,parent,https://aspire.gov.kn/,2026-07-30
ASP-037,Eligibility,Passport,Can a passport be used when registering?,A Saint Kitts and Nevis birth certificate or citizenship by descent certificate is the primary evidence of citizenship. A valid St. Kitts and Nevis passport has also been referenced as acceptable identification at sign-up events; families should confirm accepted documents on aspire.gov.kn.,passport|identification|document|registration,parent,https://aspire.gov.kn/,2026-07-30
ASP-038,Eligibility,Foreign-born citizens,My child is a citizen by descent born abroad. Are they eligible?,"Yes. Citizens by descent are eligible provided they meet the age, residency and school-enrolment requirements. They should present a citizenship by descent certificate.",born abroad|descent|foreign|eligible,parent,https://aspire.gov.kn/,2026-07-30
ASP-039,Eligibility,Non-citizens,Can non-citizens or permanent residents join ASPIRE?,No. ASPIRE is limited to citizens of Saint Kitts and Nevis. Non-citizens and permanent residents are not eligible.,non-citizen|resident|not eligible|exclusion,parent,https://aspire.gov.kn/,2026-07-30
ASP-040,Eligibility,One account per child,Can a child have more than one ASPIRE account?,Each eligible child receives one ASPIRE account with a single seeded savings and investment allocation. Duplicate accounts are not part of the programme design.,one account|duplicate|single account|per child,parent,https://aspire.gov.kn/,2026-07-30
ASP-041,Eligibility,Newborns,Can I sign up my newborn or toddler?,"Children become eligible at age 5. Enrolment happens on a rolling basis as each child reaches their fifth birthday, so younger children can be registered when they qualify.",newborn|toddler|under 5|enrolment,parent,https://aspire.gov.kn/,2026-07-30
ASP-042,Eligibility,Turning 5,My child just turned 5. Can they join now?,Yes. The sign-up portal stays open for continuous registration so children can be enrolled as they reach their fifth birthday.,turned 5|fifth birthday|enrol|register,parent,https://aspire.gov.kn/,2026-07-30
ASP-043,Eligibility,Turning 19,What if my child is about to turn 19?,"ASPIRE targets youth aged 5 to 18. A participant who has already joined continues in the programme under its completion rules, but new enrolment is for those within the eligible age range.",19|too old|age limit|aging out,parent,https://aspire.gov.kn/,2026-07-30
ASP-044,Eligibility,Both islands,Are children on Nevis eligible for ASPIRE?,"Yes. Eligible children on Nevis can join ASPIRE just like those on St. Kitts, and ASPIRE Day and school activities have been held on both islands.",nevis|eligible|island|children,parent,https://aspire.gov.kn/,2026-07-30
ASP-045,Application,How to apply,How do I apply for ASPIRE?,"You can apply online at aspire.gov.kn, or meet the ASPIRE team at schools and community events across St. Kitts and Nevis. Parents and guardians can register a child through the online portal.",apply|how to apply|register|sign up,parent,https://www.technology.gov.kn/aspire/,2026-07-30
ASP-046,Application,Online portal,Where is the ASPIRE registration portal?,"Registration is done through the online portal linked from aspire.gov.kn, at portal.aspire.gov.kn/register, where you can register or sign in.",portal|register online|sign in|registration,parent,https://aspire.gov.kn/,2026-07-30
ASP-047,Application,Portal open,Is the ASPIRE application always open?,Yes. The sign-up and apply portal remains open to allow continuous registration of children as they reach their fifth birthday.,portal open|always open|continuous|registration,parent,https://aspire.gov.kn/,2026-07-30
ASP-048,Application,Rolling enrolment,How are new participants enrolled?,"Following the September 2024 launch, participants are enrolled on a rolling basis after their fifth birthday, so families can register children at any time once they qualify.",rolling|enrolment|new participants|ongoing,parent,https://aspire.gov.kn/,2026-07-30
ASP-049,Application,Who registers,Who registers a child for ASPIRE?,"A parent or guardian typically registers a child. From age 12, an ASPIRE participant can also register for their own account.",who registers|parent|guardian|register,parent,https://aspire.gov.kn/,2026-07-30
ASP-050,Application,Self registration age,At what age can I register for my own ASPIRE account?,ASPIRE participants can register for their own accounts from the age of 12.,self register|age 12|own account|teen,student,https://aspire.gov.kn/,2026-07-30
ASP-051,Application,Documents needed,What documents do I need to register?,You need evidence of citizenship for the child: a Saint Kitts and Nevis birth certificate or a citizenship by descent certificate. Confirm any additional documents on aspire.gov.kn.,documents|register|birth certificate|requirements,parent,https://aspire.gov.kn/,2026-07-30
ASP-052,Application,At schools,Can I register through my child's school?,"Yes. The ASPIRE team visits schools across St. Kitts and Nevis during the school year, and school presentations and sign-up drives are part of the programme's outreach.",school registration|team visit|school|outreach,parent,https://www.technology.gov.kn/aspire/,2026-07-30
ASP-053,Application,In-person events,Are there in-person events where I can sign up?,"Yes. ASPIRE Day events, school visits and community activations offer in-person sign-up support. Follow ASPIRE on social media for event dates and locations.",in person|events|aspire day|sign up,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2026-07-30
ASP-054,Application,Registration help,Is there help available to complete registration?,"Yes. ASPIRE provides step-by-step registration support and a tutorial video series to help parents and guardians complete enrolment, including on-the-spot help at events.",help|support|tutorial|registration assistance,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2026-07-30
ASP-055,Application,Tutorial videos,Are there tutorials to help me sign up my child?,Yes. ASPIRE has published a tutorial video series and step-by-step guides on its social media channels to walk parents through the sign-up process.,tutorial|video|guide|how to sign up,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2026-07-30
ASP-056,Application,Deadline,Is there a deadline to register for ASPIRE?,"There is no single cut-off. The portal stays open for continuous registration, and children can be enrolled as they reach their fifth birthday.",deadline|cut-off|when register|time limit,parent,https://aspire.gov.kn/,2026-07-30
ASP-057,Application,After registering,What happens after I register my child?,"Once enrolled, a seeded savings account is opened at the St. Kitts-Nevis-Anguilla National Bank and begins earning interest. The investment allocation is applied under the programme rules.",after registering|next steps|account opened|enrolment,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2026-07-30
ASP-058,Application,Account opening speed,How quickly is an ASPIRE account opened?,"The Task Force works with the Ministry of Education, Department of ICT, the National Bank and other partners to open accounts quickly and securely so beneficiaries begin earning interest promptly.",account speed|how fast|opening|interest,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2026-07-30
ASP-059,Application,Free to register,Is there a fee to register for ASPIRE?,"No. Registration for ASPIRE is free, and the seed contribution is provided by the government.",fee|free|cost to register|no charge,parent,https://aspire.gov.kn/,2026-07-30
ASP-060,Application,Multiple children,Can I register more than one child?,Yes. Each eligible child in a family can be registered for their own ASPIRE account and receive their own seeded contribution.,multiple children|siblings|family|several,parent,https://aspire.gov.kn/,2026-07-30
ASP-061,Application,Confirmation,How do I know my child's registration went through?,"After registering through the portal, you can sign in to view the account. For confirmation issues, contact the ASPIRE team at aspire@gov.kn or by phone.",confirmation|registered|verify|check status,parent,https://aspire.gov.kn/,2026-07-30
ASP-062,Application,Where to start,I want to sign my child up. Where do I start?,"Start at aspire.gov.kn and use the Register/Sign In portal, or attend an ASPIRE Day or school event for in-person help. Have your child's birth certificate or citizenship by descent certificate ready.",get started|first step|sign up|begin,parent,https://aspire.gov.kn/,2026-07-30
ASP-063,Savings,Savings amount,How much is in the ASPIRE savings account?,Each participant's savings account is seeded with an initial EC$500 deposit from the government.,savings amount|500|initial deposit|seed,parent,https://aspire.gov.kn/,2026-07-30
ASP-064,Savings,Which bank,Which bank holds the ASPIRE savings account?,"ASPIRE savings accounts are held at the St. Kitts-Nevis-Anguilla National Bank, a government-backed financial institution.",bank|national bank|sknanb|where held,parent,https://aspire.gov.kn/,2026-07-30
ASP-065,Savings,Interest,Does the ASPIRE savings account earn interest?,"Yes. The savings account accrues interest over time, which grows the participant's savings.",interest|earn|grow|accrue,parent,https://aspire.gov.kn/,2026-07-30
ASP-066,Savings,When interest starts,When does the savings account start earning interest?,"Beneficiaries begin earning interest as soon as their seeded savings account is opened, which the Task Force works to do quickly and securely.",interest start|when|begin earning|account open,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2026-07-30
ASP-067,Savings,Additional deposits,Can I add extra money to the ASPIRE savings account?,Yes. Additional deposits can be made into the ASPIRE savings account. Note that any voluntarily added funds cannot be withdrawn for the duration of the programme.,additional deposits|add money|top up|extra,parent,https://aspire.gov.kn/,2026-07-30
ASP-068,Savings,Extra deposits locked,"If I add extra money, can I take it back out early?","No. Any additional funds added voluntarily are locked for the duration of the programme, the same as the seed amount, and can only be withdrawn on completion.",extra funds locked|withdraw|additional|locked,parent,https://aspire.gov.kn/,2026-07-30
ASP-069,Savings,Withdrawals,Can I withdraw funds from the ASPIRE savings account?,Funds can only be withdrawn by the ASPIRE participant upon completion of the programme. This includes any additional funds added during the programme.,withdraw|withdrawal|take out|access funds,parent,https://aspire.gov.kn/,2026-07-30
ASP-070,Savings,Parent withdrawals,Can a parent or guardian withdraw the child's savings?,"No. Parents or guardians cannot withdraw funds. Only the ASPIRE participant can withdraw, and only upon completing the programme.",parent withdraw|guardian|cannot withdraw|access,parent,https://aspire.gov.kn/,2026-07-30
ASP-071,Savings,Fund safety,How are the funds in the savings account protected?,"The funds are held securely at the St. Kitts-Nevis-Anguilla National Bank, a government-backed financial institution, ensuring safety and reliability.",safety|protected|secure|guaranteed,parent,https://aspire.gov.kn/,2026-07-30
ASP-072,Savings,Government backed,Is the ASPIRE savings account government-backed?,"Yes. The savings account is held at the St. Kitts-Nevis-Anguilla National Bank, a government-backed institution, which safeguards participants' funds.",government backed|secure|national bank|safe,parent,https://aspire.gov.kn/,2026-07-30
ASP-073,Savings,Whose money,Whose money is in the ASPIRE account?,The funds belong to the ASPIRE participant (the child). Parents and guardians can view the account but cannot withdraw the funds.,whose money|belongs to|ownership|child,parent,https://aspire.gov.kn/,2026-07-30
ASP-074,Savings,Compound growth,How does the savings grow over time?,The seeded amount earns interest and can grow further through additional deposits and the compounding of returns over the years the child remains in the programme.,grow|compound|interest|over time,student,https://aspire.gov.kn/,2026-07-30
ASP-075,Savings,Statements,Will I receive statements on the savings?,"Yes. Valuation statements are issued quarterly to ASPIRE participants, showing updates on the performance of both savings and investments.",statements|quarterly|updates|valuation,parent,https://aspire.gov.kn/,2026-07-30
ASP-076,Savings,Check balance,How can I check my ASPIRE savings balance?,"You can view account activity by signing in to the ASPIRE portal, and quarterly valuation statements report the current value of your savings and investments.",check balance|view|statement|account activity,parent,https://aspire.gov.kn/,2026-07-30
ASP-077,Savings,Monitoring,Can parents monitor the savings account?,"Yes. Parents or guardians have access to view the account activity, though they cannot make withdrawals.",monitor|view account|parent access|oversight,parent,https://aspire.gov.kn/,2026-07-30
ASP-078,Savings,Seed source,Where does the seed money for savings come from?,"The EC$500 savings seed is a contribution from the Government of Saint Kitts and Nevis, provided to every eligible child at no cost to the family.",seed source|government|funding|contribution,parent,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2026-07-30
ASP-079,Savings,Purpose of savings,Why does ASPIRE give each child a savings account?,"The savings account encourages early financial responsibility and long-term wealth accumulation, giving children a real, growing asset and a reason to learn good money habits.",purpose|why savings|responsibility|wealth,student,https://aspire.gov.kn/,2026-07-30
ASP-080,Savings,Active now,Is the savings component active now?,Yes. The seeded savings accounts are active and earning interest. The investment component was being brought on stream in 2026.,active|savings now|current|available,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2025-12-11
ASP-081,Savings,Interest rate,What interest rate does the savings account earn?,"ASPIRE states that the savings account accrues interest over time, but the specific rate is set by the St. Kitts-Nevis-Anguilla National Bank. Check aspire.gov.kn or the bank for current rate details.",interest rate|rate|how much interest|percentage,parent,https://aspire.gov.kn/,2026-07-30
ASP-082,Savings,Lost passbook,What if I lose access to the account details?,"If you have trouble accessing your child's ASPIRE account, contact the ASPIRE team at aspire@gov.kn or by phone for assistance with account access.",lost access|account details|help|recover,parent,https://aspire.gov.kn/,2026-07-30
ASP-083,Savings,Minimum balance,Is there a minimum balance requirement?,"The account is seeded with EC$500 by the government, and funds stay in place for the duration of the programme. For any minimum-balance rules, confirm with the National Bank or aspire.gov.kn.",minimum balance|requirement|balance|rules,parent,https://aspire.gov.kn/,2026-07-30
ASP-084,Savings,Fees on account,Are there fees on the ASPIRE savings account?,"The programme is designed to give children a free financial head start. For any specific banking terms or fees, confirm with the St. Kitts-Nevis-Anguilla National Bank or on aspire.gov.kn.",fees|charges|account fees|bank charges,parent,https://aspire.gov.kn/,2026-07-30
ASP-085,Investments,Investment amount,How much of the contribution is invested?,"EC$500 of the EC$1,000 government contribution is invested in shares of local, government-owned entities.",investment amount|500|shares|invested,parent,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2026-07-30
ASP-086,Investments,What is invested in,What does ASPIRE invest in?,"A portion of each participant's contribution is invested in shares of local, government-owned entities such as the St. Kitts-Nevis-Anguilla National Bank and St. Kitts-Nevis Cable Communications Ltd (known as The Cable).",investment|shares|companies|government-owned,parent,https://aspire.gov.kn/,2026-07-30
ASP-087,Investments,National Bank shares,Does ASPIRE invest in the National Bank?,Yes. The St. Kitts-Nevis-Anguilla National Bank is one of the local government-owned entities in which ASPIRE participants hold shares.,national bank shares|sknanb|invest|company,parent,https://aspire.gov.kn/,2026-07-30
ASP-088,Investments,The Cable,Does ASPIRE invest in The Cable?,"Yes. St. Kitts-Nevis Cable Communications Ltd, known as The Cable, is one of the local government-owned entities included in ASPIRE's investments.",the cable|cable communications|invest|shares,parent,https://aspire.gov.kn/,2026-07-30
ASP-089,Investments,Choose investments,Can participants choose their own investments?,No. The investments are predetermined by the programme and are made in specific government-owned companies. Participants cannot select individual investments.,choose|select|predetermined|control,parent,https://aspire.gov.kn/,2026-07-30
ASP-090,Investments,Dividends,What happens to dividends from the investments?,Dividends generated from the investments are automatically reinvested to compound savings and promote long-term financial growth.,dividends|reinvested|compound|returns,parent,https://aspire.gov.kn/,2026-07-30
ASP-091,Investments,Reinvestment,Are investment returns reinvested?,"Yes. Dividends are automatically reinvested rather than paid out, so returns compound over the years the participant is in the programme.",reinvest|compound|returns|growth,student,https://aspire.gov.kn/,2026-07-30
ASP-092,Investments,Early withdrawal,Can I withdraw my investment before completing the programme?,No. Investments are locked in until the participant completes the ASPIRE Programme.,withdraw investment|early|locked|access,parent,https://aspire.gov.kn/,2026-07-30
ASP-093,Investments,Investment value,How will I know the value of my investments?,"Valuation statements are issued on a quarterly basis, giving participants updates on the performance of both their savings and their investments.",investment value|statement|quarterly|performance,parent,https://aspire.gov.kn/,2026-07-30
ASP-094,Investments,Ownership stake,Do ASPIRE participants really own shares?,"Yes. Each participant holds real shares in local government-owned companies, giving them genuine ownership and a stake in the national economy.",ownership|shares|stake|own,student,https://aspire.gov.kn/,2026-07-30
ASP-095,Investments,Risk,Are ASPIRE investments risky?,"ASPIRE invests in established, local government-owned entities and reinvests dividends to promote steady long-term growth. As with any investment, values can change, and quarterly statements keep participants informed.",risk|safe|volatility|investment risk,parent,https://aspire.gov.kn/,2026-07-30
ASP-096,Investments,Why local companies,Why does ASPIRE invest in local companies?,"Investing in local, government-owned entities gives young people an ownership stake in the national economy, fostering a sense of ownership and providing a path to financial growth through dividends and reinvestment.",local companies|why|ownership|economy,student,https://aspire.gov.kn/,2026-07-30
ASP-097,Investments,Investment on stream,When did the investment component start?,"The seeded savings accounts were active from the start, while the investment component was being brought on stream in 2026.",investment start|2026|on stream|timing,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2025-12-11
ASP-098,Investments,Purpose of investments,Why does ASPIRE include an investment component?,"The investment component fosters a sense of ownership and provides an opportunity for financial growth through dividends and reinvestment, teaching young people how ownership and markets work.",purpose|why invest|ownership|growth,student,https://aspire.gov.kn/,2026-07-30
ASP-099,Investments,Dividends explained,"What are dividends, in ASPIRE terms?","Dividends are a share of a company's profits paid to shareholders. In ASPIRE, the dividends from a participant's shares are automatically reinvested to grow their holdings over time.",dividends|explained|profits|shareholder,student,https://aspire.gov.kn/,2026-07-30
ASP-100,Investments,Compound interest,"What is compound interest, and does ASPIRE teach it?",Compound interest is earning returns on both your original money and the returns it has already generated. ASPIRE teaches compound interest as part of its curriculum and applies compounding through reinvested dividends.,compound interest|explained|curriculum|growth,student,https://www.gov.kn/national-accomplishments/aspire_info/,2024-12-10
ASP-101,Investments,Shares locked,Are the shares locked until completion?,Yes. The investment shares are locked in and cannot be withdrawn until the participant completes the ASPIRE Programme.,shares locked|completion|access|withdraw,parent,https://aspire.gov.kn/,2026-07-30
ASP-102,Investments,Investment education,Does ASPIRE teach investing?,"Yes. Investing is a core part of the curriculum, alongside budgeting, saving and entrepreneurship, so participants understand the shares they hold.",investing|education|curriculum|teach,student,https://aspire.gov.kn/,2026-07-30
ASP-103,Investments,Growth over time,How does the investment grow over time?,"The investment grows as the value of the underlying shares changes and as dividends are reinvested, compounding the participant's holdings over the years they remain in the programme.",growth|over time|compound|shares,student,https://aspire.gov.kn/,2026-07-30
ASP-104,Investments,Ownership benefit,What is the benefit of children owning shares early?,"Owning shares early gives children a financial asset, exposure to how markets and dividends work, and a real stake in local companies, benefits traditionally available mainly to privileged families.",benefit|early ownership|shares|advantage,student,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2026-07-30
